ENSID	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_Voom	Flags_.MT1_PMO.	Flags_.MT1_SC.	Flags_tot
ENSG00000058335	0.4827898	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	2,966335e-02	0,4827898	  11,654428	1,115050e-03	0,4819211	 0,5479649	3,559095e-03	0,4948933	 0,5455048	 2	 0	 2
ENSG00000070748	0.4968591	CHAT	choline O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:1912]	5,389970e-03	0,4968591	  21,092350	2,692263e-05	0,4960122	 0,9918652				 3	 2	 5
ENSG00000111305	0.4426641	GSG1	germ cell associated 1 [Source:HGNC Symbol;Acc:HGNC:19716]	3,221306e-02	0,4426641	  14,373687	1,180319e-04	0,4415751	 0,6762719				 2	 0	 2
ENSG00000125144	2.6118220	MT1G	metallothionein 1G [Source:HGNC Symbol;Acc:HGNC:7399]	9,849838e-34	2,6118220	 776,892590	3,756761e-90	2,6071388	36,3680952	1,709279e-04	2,6056657	36,3705534	 3	 3	 6
ENSG00000125148	2.6738430	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	3,137445e-30	2,6738430	 334,024871	2,173043e-53	2,6691560	15,6364850	2,967118e-05	2,6654552	15,6389442	 3	 3	 6
ENSG00000125730	0.4684597	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	8,619613e-11	0,4684597	1431,101413	7,928846e-81	0,4675459	67,3048629	3,059273e-04	0,4676592	67,3024002	 3	 3	 6
ENSG00000132530	0.4945074	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	4,483310e-02	0,4945074	  11,258345	2,457174e-03	0,4942296	 0,5286910				 3	 0	 3
ENSG00000164600	0.2841442	NEUROD6	neuronal differentiation 6 [Source:HGNC Symbol;Acc:HGNC:13804]	4,907618e-02	0,2841442	  63,211448	5,572714e-22	0,2835636	 2,9726563				 3	 1	 4
ENSG00000169245	0.3716242	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1,273798e-03	0,3716242	  19,439894	1,059149e-06	0,3710496	 0,9134267	1,152173e-03	0,3822264	 0,9109666	 3	 0	 3
ENSG00000169715	2.8153985	MT1E	metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]	4,392636e-21	2,8153985	 192,890357	1,508003e-37	2,8106131	 9,0312032	6,420471e-05	2,8030477	 9,0336628	 3	 3	 6
