ENSID	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_Voom	Flags_.MT2_PMO.	Flags_.MT2_SC.	Flags_tot
ENSG00000000005	1.7332361	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]				 8,882193e-03	1,7332361	  0,4877353	4,164824e-02	1,7091890	  0,4884556	 1	 2	 3
ENSG00000001626	0.5719111	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	1,589601e-08	0,5719111	 116,57434	 3,125981e-13	0,5701027	  5,6125791	5,744340e-05	0,5709326	  5,6118585	 3	 3	 6
ENSG00000002587	0.6163782	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	1,276423e-04	0,6163782	  57,48639	 3,619731e-07	0,6144620	  2,7699734	3,309392e-04	0,6158226	  2,7692529	 3	 3	 6
ENSG00000002726	1.2320126	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	3,869878e-02	1,2320126	  51,49149	 5,619472e-03	1,2274233	  2,4208715				 3	 3	 6
ENSG00000002746	1.2591320	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]				 1,056206e-02	1,2591320	  1,5486271				 3	 3	 6
ENSG00000003137	1.6213150	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2,467502e-05	1,6213150	 100,24367	 7,410083e-10	1,6151107	  4,7611707	7,826457e-03	1,6133360	  4,7618908	 3	 3	 6
ENSG00000003402	0.7332149	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]				 4,109562e-03	0,7332149	  1,3036518				 3	 3	 6
ENSG00000004777	1.3193513	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]				 5,686701e-10	1,3193513	 17,4817070				 3	 3	 6
ENSG00000005102	0.7966114	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]				 1,567561e-02	0,7966114	  1,3865883				 3	 3	 6
ENSG00000005243	1.2015263	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]				 1,757635e-02	1,2015263	  1,8835879	2,215630e-02	1,2010962	  1,8843081	 3	 3	 6
ENSG00000005961	1.5046521	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2,648221e-03	1,5046521	  73,24071	 9,198692e-07	1,4990119	  3,4750824				 3	 3	 6
ENSG00000006016	0.7135290	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	3,302574e-02	0,7135290	  27,71243	 2,383836e-03	0,7116453	  1,3369487	4,057318e-02	0,7132584	  1,3362283	 3	 3	 6
ENSG00000006047	1.3814729	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	6,932497e-04	1,3814729	  88,41580	 5,673898e-06	1,3766754	  4,1881462	1,057976e-02	1,3759432	  4,1888664	 3	 3	 6
ENSG00000006128	0.3429945	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	4,364191e-04	0,3429945	  24,75124	 4,394173e-08	0,3426252	  1,1858300	1,221518e-02	0,3514982	  1,1851096	 3	 0	 3
ENSG00000006747	1.2300340	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	5,177632e-03	1,2300340	 212,24553	 1,293272e-05	1,2255669	  9,9858753				 3	 3	 6
ENSG00000007062	0.8269793	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	2,910271e-03	0,8269793	 128,26009	 2,083102e-04	0,8245524	  6,2364309	4,109510e-03	0,8246889	  6,2357103	 3	 3	 6
ENSG00000008311	1.2828559	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	4,765071e-03	1,2828559	 137,41378	 7,563057e-06	1,2786755	  6,4930313				 3	 3	 6
ENSG00000008517	0.5478688	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	3,131278e-21	0,5478688	 665,17829	 3,414307e-39	0,5461876	 32,0204785	1,769132e-04	0,5463493	 32,0197567	 3	 3	 6
ENSG00000009709	0.8327348	PAX7	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]	4,132820e-02	0,8327348	  53,34961	 6,481426e-03	0,8304077	  2,5930329	3,315507e-02	0,8307157	  2,5923125	 3	 3	 6
ENSG00000009765	1.6454142	IYD	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]				 4,848262e-03	1,6454142	  0,6354799				 1	 3	 4
ENSG00000010318	1.2230934	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]				 2,829235e-02	1,2230934	  1,3607006	2,437864e-02	1,2223522	  1,3614208	 3	 3	 6
ENSG00000010610	1.5166406	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	1,302891e-04	1,5166406	  92,85752	 3,209885e-08	1,5118704	  4,4127349	1,183024e-02	1,5105580	  4,4134550	 3	 3	 6
ENSG00000010932	1.6823708	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	2,915435e-02	1,6823708	 466,29023	 4,179566e-27	1,6761210	 22,1781069	4,400725e-02	1,6756575	 22,1788262	 3	 3	 6
ENSG00000011052	0.8240424	NME1-NME2	NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531]	4,098105e-05	0,8240424	 635,43026	 7,353007e-07	0,8216616	 30,8746945	2,723838e-03	0,8216900	 30,8739728	 3	 3	 6
ENSG00000011347	0.5407566	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	3,802541e-11	0,5407566	 201,91503	 5,144426e-21	0,5393184	  9,7099254	8,985038e-04	0,5398671	  9,7092046	 3	 3	 6
ENSG00000011422	0.6250481	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	8,080344e-05	0,6250481	  85,14399	 7,873877e-09	0,6234953	  4,0976344	1,148239e-02	0,6243750	  4,0969138	 3	 3	 6
