ENSID	RatiosMoys_.MT2_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT2_SC.	Flags_tot
ENSG00000000003	 1.526737218	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	 1,167197e-18	 1,526737218	  592,951130	 1,426978e-23	 1,530159174	  28,5095997	4,387395e-05	 1,529968189	  28,5114636	 3	 3	 6
ENSG00000000460	 1.289390065	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	 6,508634e-03	 1,289390065	   58,068569	 5,507077e-04	 1,292271313	   2,8015799	3,544477e-03	 1,291768926	   2,8034452	 3	 3	 6
ENSG00000000971	 1.328861916	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	 4,652030e-05	 1,328861916	  140,744938	 5,262805e-07	 1,331981770	   6,7855012	1,465424e-03	 1,331701424	   6,7873662	 3	 3	 6
ENSG00000001036	 1.441524568	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	 1,254108e-11	 1,441524568	  325,407274	 7,713969e-15	 1,444814563	  15,6560762	1,279715e-05	 1,444578323	  15,6579407	 3	 3	 6
ENSG00000001460	 1.203127756	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	 2,092655e-02	 1,203127756	   57,363864	 5,002416e-03	 1,205687088	   2,7746877	1,182480e-03	 1,205476581	   2,7765530	 3	 3	 6
ENSG00000001497	 0.788642028	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	 4,271199e-06	 0,788642028	  320,810177	 3,841371e-08	 0,790033018	  15,2250029	2,626915e-03	 0,790125019	  15,2231370	 3	 3	 6
ENSG00000001617	 0.674973803	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 1,696651e-16	 0,674973803	  812,672331	 1,695478e-22	 0,676776552	  38,5966208	2,138811e-04	 0,676854139	  38,5947539	 3	 3	 6
ENSG00000001626	 2.256125690	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 1,254626e-08	 2,256125690	   88,311531	 1,380932e-16	 2,261921250	   4,2342955	1,065148e-03	 2,253920067	   4,2361607	 3	 3	 6
ENSG00000002016	 0.460131873	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	 2,332591e-33	 0,460131873	  513,621868	 5,435076e-50	 0,460985419	  24,4927273	1,310458e-05	 0,461297939	  24,4908608	 3	 3	 6
ENSG00000002549	 1.509437020	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	 3,592290e-11	 1,509437020	  275,767454	 9,905555e-16	 1,512887034	  13,2599589	1,516616e-04	 1,512505258	  13,2618236	 3	 3	 6
ENSG00000002726	 1.217334421	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]				 7,610550e-03	 1,217334421	   2,3782801				 3	 3	 6
ENSG00000002746	 0.515125854	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	 2,631976e-10	 0,515125854	  150,905328	 3,457963e-18	 0,516546415	   7,1876151	9,928520e-04	 0,517415165	   7,1857494	 3	 3	 6
ENSG00000002822	 1.232593824	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	 4,517865e-04	 1,232593824	  148,684677	 2,876462e-05	 1,235393729	   7,1865460	1,479761e-03	 1,235278360	   7,1884110	 3	 3	 6
