ENSID	RatiosMoys_.MT2_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT2_SC.	Flags_tot
ENSG00000001626	 2.256125690	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	 1,254626e-08	 2,256125690	  88,311531	 1,380932e-16	 2,261921250	  4,2342955	1,065148e-03	 2,253920067	  4,2361607	 3	 3	 6
ENSG00000002016	 0.460131873	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	 2,332591e-33	 0,460131873	 513,621868	 5,435076e-50	 0,460985419	 24,4927273	1,310458e-05	 0,461297939	 24,4908608	 3	 3	 6
ENSG00000004776	 2.515898594	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 2,663419e-29	 2,515898594	 534,572719	 2,192655e-64	 2,521673815	 25,6223138	1,699015e-04	 2,519717913	 25,6241779	 3	 3	 6
ENSG00000004777	 0.459467369	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	 1,316300e-09	 0,459467369	1810,527137	 1,691697e-85	 0,460021387	 86,4023912	6,543193e-04	 0,460110305	 86,4005221	 3	 3	 6
ENSG00000005001	 0.473328606	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	 1,560038e-07	 0,473328606	  66,875323	 1,413324e-12	 0,474338880	  3,1875531	2,336539e-06	 0,476622892	  3,1856875	 3	 3	 6
ENSG00000005073	 0.129579085	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	 7,625010e-28	 0,129579085	 132,913972	 1,266544e-57	 0,129884054	  6,3468736	2,380219e-05	 0,132861950	  6,3450079	 3	 1	 4
ENSG00000005884	 2.215998496	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	 1,439039e-59	 2,215998496	3796,473611	8,019130e-103	 2,220979155	182,0081871	1,358652e-05	 2,220804130	182,0100429	 3	 3	 6
ENSG00000005961	 0.420494186	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	 7,785425e-20	 0,420494186	 306,526067	 5,666382e-41	 0,421384182	 14,6137058	5,308007e-04	 0,421982098	 14,6118397	 3	 3	 6
ENSG00000005981	 0.183169273	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	 2,985114e-05	 0,183169273	  21,121865	 1,029597e-10	 0,183776317	  1,0081161	1,638398e-03	 0,200116397	  1,0062506	 2	 0	 2
ENSG00000006071	 0.028898446	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	 1,835912e-17	 0,028898446	  95,094212	 4,648060e-65	 0,028888513	  4,5407330	6,180716e-03	 0,034018105	  4,5388674	 3	 0	 3
ENSG00000006128	 0.299465667	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	 1,125171e-05	 0,299465667	  30,790265	 3,767862e-11	 0,300673883	  1,4673642	4,772451e-04	 0,309102780	  1,4654987	 3	 0	 3
