ENSID	RatiosMoys_.d32._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d32._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d32._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d32._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d32.	Flags_tot
ENSG00000000005	  4.77726997	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	 6,652308e-06	  4,77726997	   24,94635	 6,310654e-12	  4,87612648	   1,1149726	2,536967e-04	  4,60377611	   1,1152289	 0	 3	 3
ENSG00000003400	  2.08557043	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	 5,804864e-04	  2,08557043	   30,23197	 1,835727e-07	  2,12953684	   1,3702758	1,887619e-03	  2,10979598	   1,3705321	 3	 3	 6
ENSG00000004776	  2.87939258	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 8,563234e-24	  2,87939258	  193,34876	 8,839090e-40	  2,94201187	   8,7034991	3,996470e-06	  2,93266385	   8,7037551	 3	 3	 6
ENSG00000005073	  2.91221683	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	 3,616169e-23	  2,91221683	  188,36798	 1,934864e-39	  2,97517576	   8,4758815	7,402168e-06	  2,96524716	   8,4761375	 3	 3	 6
ENSG00000005102	  4.70292439	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	 2,716594e-06	  4,70292439	   28,94259	 1,809315e-13	  4,80520071	   1,2947875	9,770874e-04	  4,57670016	   1,2950439	 0	 3	 3
ENSG00000006283	  2.84951161	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	 2,683035e-57	  2,84951161	  945,56235	1,221009e-107	  2,91013775	  42,5443592	1,620222e-05	  2,90828065	  42,5446137	 3	 3	 6
ENSG00000006468	  3.63563805	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	 7,177061e-51	  3,63563805	  521,16536	 9,792291e-99	  3,71513139	  23,3854501	2,535389e-05	  3,70830315	  23,3857054	 3	 3	 6
ENSG00000007001	  2.00627745	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]	 3,077158e-02	  2,00627745	   12,12226	 5,707907e-04	  2,05482441	   0,5537277	1,604284e-02	  2,01321676	   0,5539840	 0	 2	 2
ENSG00000007171	  0.23253118	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	 5,429144e-08	  0,23253118	   45,99767	 2,022951e-18	  0,23757772	   1,9897024	6,018801e-03	  0,24399410	   1,9894459	 3	 0	 3
ENSG00000007237	  2.27816045	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	 4,385843e-21	  2,27816045	  374,49218	 2,736827e-46	  2,32505965	  16,9138303	4,319707e-04	  2,32281952	  16,9140860	 3	 3	 6
ENSG00000007968	  2.16247759	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	 5,667493e-09	  2,16247759	   90,35556	 1,326742e-16	  2,20799515	   4,0904382	3,526727e-04	  2,20033953	   4,0906944	 3	 3	 6
ENSG00000008196	  0.21218002	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	 9,065423e-19	  0,21218002	  128,08526	 1,532055e-41	  0,21750352	   5,5436636	9,493363e-04	  0,21994113	   5,5434069	 3	 3	 6
ENSG00000008394	  0.47295211	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	 1,202424e-14	  0,47295211	  152,31931	 9,257585e-21	  0,48323801	   6,5069672	1,031012e-06	  0,48415186	   6,5067105	 3	 3	 6
ENSG00000008441	  5.79643369	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	 4,507397e-82	  5,79643369	  573,69477	6,235053e-150	  5,91890767	  25,6331200	5,504976e-06	  5,89845555	  25,6333753	 3	 3	 6
ENSG00000011465	  2.69428843	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	 1,044364e-81	  2,69428843	 4346,95830	9,930640e-170	  2,75235139	 195,8568378	9,255171e-06	  2,75201181	 195,8570854	 3	 3	 6
ENSG00000011677	  3.68729824	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	 4,114222e-05	  3,68729824	   24,48581	 2,009546e-10	  3,75991158	   1,0961193	1,442544e-03	  3,61685213	   1,0963757	 0	 3	 3
ENSG00000013293	  8.86103888	SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	 1,388730e-49	  8,86103888	  246,93549	 7,965660e-99	  9,05348365	  11,0191122	1,622790e-05	  8,92730847	  11,0193681	 3	 3	 6
ENSG00000013297	  4.09229903	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	3,659774e-182	  4,09229903	 5255,00274	2,405344e-314	  4,18049088	 235,4664703	9,518313e-07	  4,17955767	 235,4667162	 3	 3	 6
ENSG00000013441	  2.10961157	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	 1,552362e-32	  2,10961157	  878,28070	 1,021358e-65	  2,15832594	  39,9463941	2,231761e-04	  2,15760128	  39,9466488	 3	 3	 6
ENSG00000013619	  3.53434735	MAMLD1	mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]	 5,994686e-39	  3,53434735	  291,12507	 2,115046e-64	  3,60986141	  13,0615959	2,254805e-06	  3,59858827	  13,0618518	 3	 3	 6
ENSG00000015520	  0.36618630	NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	 6,925460e-13	  0,36618630	   97,50561	 1,681989e-21	  0,37429845	   4,1940225	3,797029e-05	  0,37636589	   4,1937659	 3	 3	 6
ENSG00000017427	  5.34409724	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	 2,650372e-50	  5,34409724	  303,92668	 7,365830e-91	  5,45894796	  13,5939449	8,217806e-06	  5,42735921	  13,5942007	 3	 3	 6
ENSG00000017483	  3.53882023	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	 4,977761e-08	  3,53882023	   42,27862	 9,639308e-16	  3,61768776	   1,8992144	2,402429e-06	  3,54163771	   1,8994707	 0	 3	 3
ENSG00000018236	  2.03880517	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	 3,242177e-28	  2,03880517	  649,84204	 5,627896e-53	  2,08399585	  29,5423961	1,077481e-04	  2,08313846	  29,5426512	 3	 3	 6
ENSG00000018625	  2.04868133	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	 2,324708e-21	  2,04868133	  316,08360	 1,963795e-35	  2,09216035	  14,3422158	3,201230e-05	  2,09036896	  14,3424716	 3	 3	 6
ENSG00000019505	  2.28001488	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	 4,079324e-09	  2,28001488	   84,45728	 3,284769e-17	  2,32746080	   3,8167866	3,511678e-04	  2,31755577	   3,8170428	 3	 3	 6
ENSG00000020181	  2.58810915	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	3,862822e-100	  2,58810915	 4948,79644	3,682444e-163	  2,64392445	 223,1729194	1,720751e-06	  2,64366227	 223,1731658	 3	 3	 6
ENSG00000021488	  2.02958553	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]				 4,535337e-10	  2,02958553	   2,2138411	1,720842e-02	  2,01936523	   2,2140974	 3	 3	 6
ENSG00000023445	  2.52302253	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	 1,695643e-03	  2,52302253	   19,93516	 9,666767e-07	  2,57199328	   0,8966968	4,189701e-03	  2,51453463	   0,8969532	 0	 3	 3
ENSG00000024422	  2.50668594	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	 5,831221e-60	  2,50668594	 1017,39001	 2,636512e-93	  2,56060130	  45,9093679	2,366767e-06	  2,55945385	  45,9096223	 3	 3	 6
ENSG00000026508	  5.08217505	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	 6,956424e-16	  5,08217505	   88,33763	 8,985441e-35	  5,18680387	   3,9474168	3,203877e-04	  5,09240764	   3,9476730	 2	 3	 5
ENSG00000034239	  0.49954146	CLXN	calaxin [Source:HGNC Symbol;Acc:HGNC:25678]	 1,703458e-09	  0,49954146	   99,89299							 3	 3	 6
ENSG00000036828	  0.33924329	CASR	calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514]	 1,371798e-22	  0,33924329	  188,69058	 5,910226e-37	  0,34690125	   8,1260553	5,013347e-05	  0,34806463	   8,1257985	 3	 3	 6
ENSG00000038295	  9.36177312	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	 8,135024e-08	  9,36177312	   27,72467	 5,014219e-17	  9,56527217	   1,2371179	1,537535e-06	  8,44311479	   1,2373743	 0	 3	 3
ENSG00000038427	  2.60491509	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	 1,294670e-68	  2,60491509	15700,33197	6,869508e-206	  2,65958612	 707,3475258	6,355332e-05	  2,65950180	 707,3477505	 3	 3	 6
ENSG00000040731	  2.06033187	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	 2,932801e-22	  2,06033187	  452,95850	 3,101647e-44	  2,10568180	  20,5747644	2,014724e-04	  2,10440115	  20,5750199	 3	 3	 6
