ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0043062	extracellular structure organization	200/4123	437/19786	3.327476e-32	1.925155e-28	1.380643e-28	ITGA3/ITGA2B/DCN/CD44/TIMP2/TLL1/VCAN/TNC/GPM6B/COL9A2/ELN/LAMA3/FOXC1/LAMC2/COL11A1/ABCA7/BCL3/FBLN1/ITGA8/FAP/COL5A3/COL4A4/COL19A1/COL16A1/APOB/ADAMTS2/MMP2/ICAM1/ITGA6/COL9A3/TGFB2/TMEM38B/TLL2/MMP11/PDGFB/PLTP/MMP9/BMP7/FERMT1/LIPG/CRISPLD2/ICAM4/ICAM5/HPN/SERPINE1/ENG/SPOCK2/KAZALD1/SH3PXD2A/COL1A1/VTN/APOC3/VWF/COL12A1/COL9A1/SMOC2/LAMA4/LOX/COL7A1/HYAL1/ITGB6/ITGA4/LOXL3/FN1/SDC1/QSOX1/MFAP2/APOA1/TTR/CCN2/SPP1/FMOD/LRP1/MATN4/SOX9/TCF15/KDR/LOXL1/APOE/APOC1/COL5A1/LAMA5/RAMP2/MATN3/ITGB4/MYH11/LOXL2/PDGFRA/ADAM19/AGT/LCP1/CTSV/MMP7/ITGA11/CYP1B1/EMILIN1/ADAMTS14/ITGAV/FGF2/MTTP/FBN2/COL2A1/LUM/FBLN5/COL6A1/COL6A2/HSPG2/CCN1/PRKACB/ITGA10/ADAMTSL4/CTSK/ITGA9/COL8A1/AGTR1/SFRP2/HAPLN1/CSGALNACT1/ADAM12/ABI3BP/ABCA5/JAM2/ADAMTS5/MMP16/MYO1E/CREB3L1/ACAN/ADAMTS4/SCUBE1/CARMIL2/ITGB2/FGFR4/NPHS1/ITGA5/PDPN/MATN1/VCAM1/DDR2/CTSS/COL6A3/IHH/FBLN2/ADAMTS9/PTX3/APBB2/ITGA2/KLKB1/COL1A2/TNFRSF11B/LIPC/JAM3/FBN1/MFAP4/GREM1/SPINT2/SERPINF2/SOAT2/BMP1/COL3A1/NPNT/COL4A3/KLK7/ANTXR1/HAS2/FGA/FGB/COL8A2/LAMB2/HPSE2/ADAMTS20/NDNF/SH3PXD2B/LPL/A2M/FOXC2/WASHC1/BGN/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/COL14A1/SULF2/LAMA2/MMP1/CD47/LAMB3/COL4A6/DPP4/ADAMTSL2/EGFL6/COL11A2/COL5A2/APOM/DDR1/APOC2/ITGB3/SCX	200
BP	GO:0030198	extracellular matrix organization	180/4123	377/19786	6.080717e-32	1.925155e-28	1.380643e-28	ITGA3/ITGA2B/DCN/CD44/TIMP2/TLL1/VCAN/TNC/GPM6B/COL9A2/ELN/LAMA3/FOXC1/LAMC2/COL11A1/BCL3/FBLN1/ITGA8/FAP/COL5A3/COL4A4/COL19A1/COL16A1/ADAMTS2/MMP2/ICAM1/ITGA6/COL9A3/TGFB2/TMEM38B/TLL2/MMP11/PDGFB/MMP9/FERMT1/CRISPLD2/ICAM4/ICAM5/HPN/SERPINE1/ENG/SPOCK2/KAZALD1/SH3PXD2A/COL1A1/VTN/VWF/COL12A1/COL9A1/SMOC2/LAMA4/LOX/COL7A1/ITGB6/ITGA4/LOXL3/FN1/QSOX1/MFAP2/TTR/CCN2/SPP1/FMOD/LRP1/MATN4/SOX9/TCF15/KDR/LOXL1/COL5A1/LAMA5/RAMP2/MATN3/ITGB4/MYH11/LOXL2/PDGFRA/ADAM19/AGT/LCP1/CTSV/MMP7/ITGA11/CYP1B1/EMILIN1/ADAMTS14/ITGAV/FGF2/FBN2/COL2A1/LUM/FBLN5/COL6A1/COL6A2/HSPG2/CCN1/ITGA10/ADAMTSL4/CTSK/ITGA9/COL8A1/SFRP2/HAPLN1/CSGALNACT1/ADAM12/ABI3BP/JAM2/ADAMTS5/MMP16/MYO1E/CREB3L1/ACAN/ADAMTS4/SCUBE1/CARMIL2/ITGB2/FGFR4/NPHS1/ITGA5/PDPN/MATN1/VCAM1/DDR2/CTSS/COL6A3/IHH/FBLN2/ADAMTS9/PTX3/APBB2/ITGA2/KLKB1/COL1A2/TNFRSF11B/JAM3/FBN1/MFAP4/GREM1/SPINT2/SERPINF2/BMP1/COL3A1/NPNT/COL4A3/KLK7/ANTXR1/HAS2/FGA/FGB/COL8A2/LAMB2/HPSE2/ADAMTS20/NDNF/SH3PXD2B/A2M/FOXC2/WASHC1/BGN/GAS6/WT1/FLRT2/OLFML2A/COL4A1/THSD4/COL14A1/SULF2/LAMA2/MMP1/CD47/LAMB3/COL4A6/DPP4/ADAMTSL2/EGFL6/COL11A2/COL5A2/DDR1/ITGB3/SCX	180
BP	GO:0001655	urogenital system development	155/4123	346/19786	5.215862e-24	1.100895e-20	7.895167e-21	HOXA11/ITGA3/CRLF1/PROM1/TFAP2B/DCN/TNC/FOXC1/FGFR2/FSTL3/TP63/GLI2/NOTCH3/RARB/FGFR1/ITGA8/COL4A4/AKR1B1/WNT11/ITGA6/TGFB2/PDGFB/MMP9/BMP7/SMAD7/CTSH/EYA1/CALB1/SFRP1/GLI3/ACTA2/LZTS2/ZBTB16/GLI1/CDKN1B/VEGFA/TBX18/FGF1/HES1/ACVR2B/ID2/SDC1/NPHS2/CENPF/PKD2/PGF/TEK/EGR1/RDH10/KCNJ8/HOXC11/SOX4/WNT1/SOX9/GLIS2/LIF/PODXL/HOXD11/ALDH1A2/FOXJ1/LAMA5/ASS1/RGN/SLC34A1/RARA/SERPINF1/ITGB4/RIDA/EPHB2/WNT2B/PDGFRA/EPHA7/GDF11/AHI1/AGT/MYC/STRA6/CEP55/PLCE1/FGF2/FRAS1/ENPEP/LGR5/OSR1/AGTR1/EAF2/SLIT2/ADAMTS16/KIRREL3/PTPRO/BMP6/MYO1E/WNT9B/ACE/IL6R/NPHS1/WNT4/NFIA/VANGL2/KIF26B/KLF15/BMPER/SHH/SOX17/OSR2/RET/FBN1/FRS2/DCHS1/GREM1/NKX3-1/GDNF/NPNT/COL4A3/AR/PCSK9/EMX2/IRX2/SIX2/PKHD1/HAS2/PDGFD/FOXB1/LAMB2/OVOL1/RARG/FOXC2/GPR4/IRX3/GATA2/AGTR2/EPHB3/NOG/PRKX/TACSTD2/AMER1/WT1/ROBO2/PBX1/PTCH1/GCNT1/MAGI2/COL4A1/WNT7B/FAT4/SULF2/KANK2/MMP17/DLL1/LGR4/CRIP1/FMN1/FOXD1/LHX1/PKD1L3	155
BP	GO:0061564	axon development	191/4123	464/19786	7.596356e-24	1.202503e-20	8.623863e-21	SEMA3F/TNFRSF12A/ETV1/CDKL5/SEMA3G/FYN/ANOS1/SEMA3B/ISL1/GAB2/RTN4R/TNC/EPHA3/PIK3CB/FSTL4/NGFR/NTN1/PRKCQ/CTNNA2/FGFR2/EPHA8/TRPC5/CRMP1/GLI2/NTN4/SCARF1/SEMA3A/PAK3/MAP2/OPHN1/SEMA5B/NRCAM/EZR/HDAC6/CRTAC1/NEFH/TSPO/RPS6KA5/DOK5/BMP7/MAPK3/NUMBL/SCN1B/DLX5/PTN/HOXA2/COBL/PTPRZ1/GLI3/LIMK1/DVL1/CXCL12/UNC5B/LGI1/PHOX2B/GAB1/C12orf57/UST/VEGFA/TTL/ITGA4/DOK1/FN1/TRAK2/VAX2/MTR/ARTN/STMN1/APOA1/NRP2/CNR1/SPP1/NR4A3/TNN/EGR2/LRP1/PARD6B/BCL11B/MACF1/RNF6/FEZF1/APOE/OLFM1/MAP1B/MATN2/ATP8A2/MYH10/DCLK1/EPHB2/CHL1/TSPAN2/EPHA7/KLF4/NIBAN2/TUBB2B/SPTBN5/NTRK3/CDH11/BARHL2/CRABP2/LHX9/CERS2/SEMA6C/GDF7/BOC/SLIT2/EPHA5/PIK3R1/GFRA3/VLDLR/NFIB/SHC3/LRRC4C/NCAM1/DRD2/FEZ1/PTPRO/GFRA1/THY1/PRKCA/ENAH/NCAM2/EPHB1/UNC5D/DPYSL5/S100B/SPTBN4/CHRNB2/NTN3/DRAXIN/NTNG1/VANGL2/LMX1A/DISC1/NFASC/APBB2/SHH/ADCY1/OTX2/RET/JAM3/FRS2/ISLR2/KIF5C/GDNF/ZEB2/ALCAM/FOXB1/LAMB2/SPTBN2/BAIAP2/BDNF/CDK5R1/SLITRK1/CDH4/NRXN1/ADGRB1/UNC5C/RGMA/EXT1/EPHB3/TSKU/NOG/KREMEN1/CNTN2/SLIT3/ROBO2/FLRT2/PTCH1/RTN4RL1/RTN4RL2/SLIT1/SHTN1/DCC/TRPV2/SEMA4D/COL25A1/RELN/NLGN3/NTNG2/LAMA2/SIPA1L1/KEL/NTRK1/BMPR2/DDR1/PLXNA4/FOXD1/TUBB3/LHX1/NEFL	191
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	120/4123	242/19786	1.756844e-23	2.224868e-20	1.595585e-20	CLDN11/ATP2C1/DSG2/PIK3CB/TRO/SDK2/CDHR2/CELSR1/CDH17/PCDHB4/PCDHA6/PCDHGA2/FAT2/FXYD5/ICAM1/TGFB2/CDHR5/CDH23/MDGA1/PCDHB2/PCDHB3/PCDH12/CLDN16/ACVR1/APOA1/SLITRK3/NECTIN2/GATA5/DSC2/DSG1/DSC3/DSC1/CLDN10/PCDH8/KLF4/PCDH10/AMIGO2/CDH13/SDK1/CDHR1/LRRC4C/ESAM/KIRREL3/MPZL2/PCDH15/ADGRL3/GRID2/SPARCL1/PTPRD/CXADR/PCDH1/UNC5D/CLSTN2/ITGB2/ITGA5/NTNG1/VCAM1/CADM3/TGFBR2/CLDN19/CLDN3/FAT3/CLDN2/LRFN5/RET/DCHS1/IL1RAPL1/NLGN1/PCDH7/ALCAM/CLSTN1/PCDHB1/LRFN4/SLITRK1/CDH4/NRXN1/CLDN7/CLDN5/PCDH9/ROBO2/SLITRK2/PCDH18/PTPRT/FAT4/NTNG2/DCHS2/PCDHGA1/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA2/PCDHA1/TENM3/PCDHA13/PCDHGC3/PCDHGC5/PCDHGC4/PCDHAC2/PCDHAC1/PCDHA10/PCDHA12/PCDHGA12/PCDHGB6/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA11/PCDHGB2/PCDHGB4/CLDN23/PCDHGB1/PCDHGA3/PCDHA3/PCDHGA9/PCDHGB3/PCDHGA4/PCDHGB5/PCDH20	120
BP	GO:0072001	renal system development	142/4123	312/19786	6.573685e-23	6.937429e-20	4.975242e-20	HOXA11/ITGA3/CRLF1/PROM1/TFAP2B/DCN/FOXC1/FGFR2/FSTL3/GLI2/NOTCH3/RARB/FGFR1/ITGA8/COL4A4/AKR1B1/WNT11/ITGA6/TGFB2/PDGFB/MMP9/BMP7/SMAD7/CTSH/EYA1/CALB1/SFRP1/GLI3/ACTA2/LZTS2/ZBTB16/VEGFA/TBX18/FGF1/HES1/ACVR2B/ID2/SDC1/NPHS2/CENPF/PKD2/PGF/TEK/EGR1/RDH10/KCNJ8/HOXC11/SOX4/WNT1/SOX9/GLIS2/LIF/PODXL/HOXD11/ALDH1A2/FOXJ1/LAMA5/ASS1/RGN/SLC34A1/RARA/SERPINF1/ITGB4/RIDA/WNT2B/PDGFRA/EPHA7/GDF11/AHI1/AGT/MYC/STRA6/CEP55/PLCE1/FGF2/FRAS1/ENPEP/LGR5/OSR1/AGTR1/SLIT2/ADAMTS16/KIRREL3/PTPRO/BMP6/MYO1E/WNT9B/ACE/IL6R/NPHS1/WNT4/NFIA/VANGL2/KIF26B/KLF15/BMPER/SHH/SOX17/OSR2/RET/FBN1/DCHS1/GREM1/NKX3-1/GDNF/NPNT/COL4A3/PCSK9/EMX2/IRX2/SIX2/PKHD1/HAS2/PDGFD/LAMB2/OVOL1/FOXC2/GPR4/IRX3/AGTR2/NOG/PRKX/TACSTD2/AMER1/WT1/ROBO2/PBX1/PTCH1/GCNT1/MAGI2/COL4A1/WNT7B/FAT4/SULF2/KANK2/MMP17/DLL1/LGR4/FMN1/FOXD1/LHX1/PKD1L3	142
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	79/4123	133/19786	2.996214e-22	2.444979e-19	1.753439e-19	DSG2/PIK3CB/TRO/SDK2/CDHR2/CELSR1/CDH17/PCDHB4/PCDHA6/PCDHGA2/FAT2/CDHR5/CDH23/PCDHB2/PCDHB3/PCDH12/NECTIN2/DSC2/DSG1/DSC3/DSC1/PCDH8/PCDH10/AMIGO2/CDH13/SDK1/CDHR1/ESAM/KIRREL3/MPZL2/PCDH15/PCDH1/CLSTN2/CADM3/FAT3/RET/DCHS1/PCDH7/CLSTN1/PCDHB1/PCDH9/ROBO2/PCDH18/PTPRT/FAT4/DCHS2/PCDHGA1/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA2/PCDHA1/TENM3/PCDHA13/PCDHGC3/PCDHGC5/PCDHGC4/PCDHAC2/PCDHAC1/PCDHA10/PCDHA12/PCDHGA12/PCDHGB6/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA11/PCDHGB2/PCDHGB4/PCDHGB1/PCDHGA3/PCDHA3/PCDHGA9/PCDHGB3/PCDHGA4/PCDHGB5/PCDH20	 79
BP	GO:0007409	axonogenesis	172/4123	413/19786	3.089045e-22	2.444979e-19	1.753439e-19	SEMA3F/TNFRSF12A/ETV1/CDKL5/SEMA3G/FYN/ANOS1/SEMA3B/ISL1/GAB2/RTN4R/PIK3CB/FSTL4/NGFR/NTN1/PRKCQ/CTNNA2/FGFR2/EPHA8/TRPC5/CRMP1/GLI2/NTN4/SEMA3A/PAK3/MAP2/OPHN1/SEMA5B/NRCAM/EZR/HDAC6/NEFH/RPS6KA5/DOK5/BMP7/MAPK3/NUMBL/SCN1B/DLX5/HOXA2/COBL/PTPRZ1/GLI3/LIMK1/DVL1/CXCL12/UNC5B/LGI1/PHOX2B/GAB1/C12orf57/UST/VEGFA/TTL/ITGA4/DOK1/FN1/TRAK2/VAX2/ARTN/STMN1/NRP2/SPP1/NR4A3/TNN/EGR2/LRP1/PARD6B/BCL11B/MACF1/RNF6/FEZF1/APOE/OLFM1/MAP1B/MATN2/ATP8A2/MYH10/DCLK1/EPHB2/CHL1/EPHA7/NIBAN2/TUBB2B/SPTBN5/NTRK3/CDH11/BARHL2/CRABP2/LHX9/SEMA6C/GDF7/BOC/SLIT2/EPHA5/PIK3R1/GFRA3/VLDLR/NFIB/SHC3/LRRC4C/NCAM1/DRD2/FEZ1/PTPRO/GFRA1/THY1/PRKCA/ENAH/EPHB1/UNC5D/DPYSL5/S100B/SPTBN4/CHRNB2/NTN3/DRAXIN/NTNG1/VANGL2/LMX1A/DISC1/NFASC/APBB2/SHH/ADCY1/OTX2/RET/FRS2/ISLR2/KIF5C/GDNF/ZEB2/ALCAM/FOXB1/LAMB2/SPTBN2/BAIAP2/BDNF/CDK5R1/SLITRK1/CDH4/NRXN1/ADGRB1/UNC5C/EXT1/EPHB3/TSKU/NOG/CNTN2/SLIT3/ROBO2/FLRT2/PTCH1/SLIT1/SHTN1/DCC/TRPV2/SEMA4D/COL25A1/RELN/NLGN3/NTNG2/LAMA2/SIPA1L1/KEL/NTRK1/BMPR2/PLXNA4/FOXD1/TUBB3/LHX1/NEFL	172
BP	GO:1903522	regulation of blood circulation	137/4123	306/19786	2.433383e-21	1.693854e-18	1.214763e-18	CACNA1G/CACNA2D2/EHD3/ATP1A2/CASR/DSG2/KCNQ1/KCNH2/CACNB1/ATP2B3/ABCC9/ATP1B3/TMEM38A/PTGS2/SEMA3A/CACNG5/CACNG4/EDN1/KCNN2/CACNA1S/ICAM1/MYH7/TGFB2/TMEM38B/KCNK6/CHGA/AVP/SMAD7/CACNA1F/KCND1/HTR2A/ATP1A3/CACNG7/SCN1B/CAV1/SLC1A1/ASIC2/NMU/BVES/HBEGF/PDE4D/HRH2/KCNIP3/TACR1/RGS2/RGS4/SLC8A2/TNNT2/CCN2/KCNJ5/TBX2/POPDC2/DBH/KCNJ2/EDN3/KCNK15/PTGER2/THRA/EDN2/TNNI3/KCNA5/ACE2/CACNG6/HRC/CHRM3/SPX/DSC2/P2RX4/KCNMB4/AGT/KCNK1/BIN1/FXYD6/PDE5A/TPM1/CACNG8/AGTR1/CORIN/ANK2/EGFR/DOCK5/ADM/DRD2/SCN2B/ADRA2A/CACNA1C/GJA1/CXADR/ATP2B2/CACNA1D/STC1/ACE/SPTBN4/S100A1/MYL3/ATP1A1/ADORA1/AVPR1A/SCN3B/OR51E2/NPR1/TACR3/ADRA1B/KCNK3/KCND3/APLN/FGA/FGB/HSPB7/JUP/DES/KCNE3/KCNE5/IRX5/SCN4B/AGTR2/CHRM2/KCNIP1/CACNB4/GJC1/SLC8A1/SCN5A/KCNJ12/KCND2/PDE4B/RYR1/CACNA1H/HRH1/ADA/FLNA/KCNMB2/RYR2/NOS1AP/BMPR2/AGER/APELA/ADRA2B	137
BP	GO:0006936	muscle contraction	151/4123	351/19786	2.675069e-21	1.693854e-18	1.214763e-18	HSPB6/CACNA1G/TBXA2R/EHD3/ATP1A2/DSG2/KCNQ1/KCNH2/CALCRL/MYLK/TMEM38A/PTGS2/ENO1/PPP1R12B/ACTN2/EDN1/CHRNA3/KCNN2/CACNA1S/MYBPC2/MYH7/TMEM38B/SORBS1/P2RX6/CHGA/PABPN1/MYLK2/TNNC2/SMAD7/HTR2A/TNNT1/MYH14/SCN1B/CAV1/ACTA2/SGCA/MYH3/NMU/P2RX3/C12orf57/PDE4D/FGF12/TNNC1/TACR1/RGS2/CHRNB4/TNNT2/CCN2/KCNJ5/SORBS3/KCNJ8/CALD1/SSPN/KCNJ2/EDN3/EDN2/TNNI3/KCNA5/CNN1/ACE2/HRC/TNNT3/TNNI2/SLC6A8/ATP8A2/CHRM3/MYH8/MYBPH/MYH11/SPX/DSC2/P2RX4/DYSF/AGT/CHRND/HTR2B/BIN1/PLCE1/CHRNA1/PDE5A/TPM1/ACTA1/ANK2/DOCK5/DRD2/SCN2B/ALDOA/ADRA2A/CACNA1C/EDNRA/KCNE4/GJA1/KCNMA1/CACNA1D/STC1/TNNI1/ACTC1/CHRNB2/MYL3/TPCN2/ACTG2/LMOD3/ATP1A1/ADORA1/GUCY1A1/ITGA2/PGAM2/GPER1/SCN3B/TPM4/MYL1/GDNF/NPNT/TACR3/ADRA1B/SGCD/KCND3/NMUR1/SNTB1/JUP/TCAP/DES/KCNE3/KCNE5/SCN4B/TRIM72/MYLPF/OXTR/SYNM/GJC1/SLC8A1/NEB/SCN5A/KCNJ12/PLA2G6/PDE4B/STAC3/P2RX2/CLCN1/RYR1/CACNA1H/SULF2/CHRNG/ADA/FLNA/TPM2/RYR2/NOS1AP/KLHL41/ADRA2B/ALDOA	151
