sampleID	bamFile	pairedEnd	strandSpecific	group	replicate
MT1_PMO_R1	./MT1_PMO_R1.bam	TRUE	1	MT1_PMO	R1
MT1_PMO_R2	./MT1_PMO_R2.bam	TRUE	1	MT1_PMO	R2
MT1_PMO_R3	./MT1_PMO_R3.bam	TRUE	1	MT1_PMO	R3
MT1_SC_R1	./MT1_SC_R1.bam	TRUE	1	MT1_SC	R1
MT1_SC_R2	./MT1_SC_R2.bam	TRUE	1	MT1_SC	R2
MT1_SC_R3	./MT1_SC_R3.bam	TRUE	1	MT1_SC	R3
MT2_PMO_R1	./MT2_PMO_R1.bam	TRUE	1	MT2_PMO	R1
MT2_PMO_R2	./MT2_PMO_R2.bam	TRUE	1	MT2_PMO	R2
MT2_PMO_R3	./MT2_PMO_R3.bam	TRUE	1	MT2_PMO	R3
MT2_SC_R1	./MT2_SC_R1.bam	TRUE	1	MT2_SC	R1
MT2_SC_R2	./MT2_SC_R2.bam	TRUE	1	MT2_SC	R2
MT2_SC_R3	./MT2_SC_R3.bam	TRUE	1	MT2_SC	R3
WT_R1	./WT_R1.bam	TRUE	1	WT	R1
WT_R2	./WT_R2.bam	TRUE	1	WT	R2
WT_R3	./WT_R3.bam	TRUE	1	WT	R3
d22_R1	./d22_R1.bam	TRUE	1	d22	R1
d22_R2	./d22_R2.bam	TRUE	1	d22	R2
d22_R3	./d22_R3.bam	TRUE	1	d22	R3
d32_R1	./d32_R1.bam	TRUE	1	d32	R1
d32_R2	./d32_R2.bam	TRUE	1	d32	R2
d32_R3	./d32_R3.bam	TRUE	1	d32	R3
d42_R1	./d42_R1.bam	TRUE	1	d42	R1
d42_R2	./d42_R2.bam	TRUE	1	d42	R2
d42_R3	./d42_R3.bam	TRUE	1	d42	R3
