ENSID	RatiosMoys_.d42._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d42._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d42._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d42._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d42.	Flags_tot
ENSG00000001036	6.658156e-01	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	 5,005204e-19	6,658156e-01	5,037016e+02							 3	 3	 6
ENSG00000001561	4.921853e-01	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	 1,655301e-16	4,921853e-01	1,913802e+02	 7,245114e-26	4,980874e-01	   8,9600757	1,240441e-05	4,989323e-01	   8,9558790	 3	 3	 6
ENSG00000001617	4.775340e-01	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	 7,733669e-58	4,775340e-01	1,537114e+03	6,716490e-106	4,828880e-01	  72,1494770	1,199323e-04	4,829986e-01	  72,1452780	 3	 3	 6
ENSG00000002586	1.845168e+00	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	 5,315317e-87	1,845168e+00	2,446631e+03	 3,952662e-98	1,866639e+00	 118,9031739	2,587852e-07	1,866533e+00	 118,9073630	 3	 3	 6
ENSG00000002587	4.179073e+00	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	 1,646278e-13	4,179073e+00	7,223991e+01	 1,030558e-26	4,220264e+00	   3,4750329	5,383183e-05	4,160516e+00	   3,4792291	 2	 3	 5
ENSG00000002726	3.692816e-01	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	 2,362095e-28	3,692816e-01	4,339127e+02	 8,308948e-72	3,729760e-01	  20,4776399	1,154488e-03	3,735213e-01	  20,4734427	 3	 3	 6
ENSG00000002746	6.288886e-01	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	 6,593231e-06	6,288886e-01	1,039799e+02	 2,649649e-10	6,365794e-01	   4,8215972	6,728566e-03	6,374893e-01	   4,8174007	 3	 3	 6
ENSG00000002933	4.998371e-01	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	 5,700932e-49	4,998371e-01	9,263870e+02	 3,037458e-76	5,054186e-01	  43,4317621	3,424084e-05	5,055888e-01	  43,4275642	 3	 3	 6
ENSG00000003096	2.314029e+00	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	 4,853375e-95	2,314029e+00	1,388838e+03	4,096151e-132	2,341567e+00	  67,1973121	6,582796e-07	2,341069e+00	  67,2015046	 3	 3	 6
ENSG00000003147	1.894341e+00	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	 6,501793e-08	1,894341e+00	8,213597e+01	 4,486674e-13	1,917202e+00	   3,9914311	1,763677e-05	1,913605e+00	   3,9956272	 3	 3	 6
ENSG00000003249	5.952477e-01	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	 1,111082e-18	5,952477e-01	4,679304e+02	 1,312556e-34	6,016104e-01	  21,8421784	7,319178e-04	6,018447e-01	  21,8379813	 3	 3	 6
ENSG00000003400	2.593884e+00	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	 5,158523e-06	2,593884e+00	4,068368e+01	 1,210059e-11	2,619434e+00	   1,9612525	6,146557e-04	2,594295e+00	   1,9654488	 3	 3	 6
ENSG00000003436	6.529986e-01	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	 5,707731e-08	6,529986e-01	1,665851e+02	 3,531402e-13	6,608945e-01	   7,7126198	1,975206e-03	6,614025e-01	   7,7084232	 3	 3	 6
